question,document,answer_llm,score,reasoning
What number covers the requirement to document and assign responsibilities for Requirement 9 tasks?,216,"Roles and responsibilities for performing Requirement 9 activities must be documented, assigned, and understood.

- They apply to all activities in Requirement 9.
- Roles and responsibilities may be documented in policies/procedures or separate documents.
- A RACI matrix is an example method mentioned for documenting responsibilities.

Source: req. 9.1.2 (p. 216)",good,"The answer correctly states the requirement content and cites the correct requirement number 9.1.2 shown on the page. The extra details about documentation methods and RACI are also supported by the page. The page shown is page 212, so the citation 'p. 216' is not supported, but the question asks for the number covering the requirement, not the page number, and the core requirement number is correct."
What controls are required at the boundary between trusted and untrusted networks under requirement 1.4?,58,"Network connections at the boundary between trusted and untrusted networks must be controlled with network security controls so that only authorized traffic can cross.

- NSCs must be implemented between trusted and untrusted networks.
- Inbound traffic from untrusted to trusted networks must be restricted to:
  - communications with system components authorized to provide publicly accessible services, protocols, and ports;
  - stateful responses to communications initiated by system components in a trusted network;
  - all other traffic denied.
- System components that store cardholder data must not be directly accessible from untrusted networks.

Source: req. 1.4.1 (p. 58); req. 1.4.2 (p. 55); req. 1.4.4 (p. 57)",bad,"The page only states requirement 1.4.1: NSCs are implemented between trusted and untrusted networks, with testing procedures and guidance mentioning DMZs. The answer adds several specific inbound-traffic restrictions and cites requirements 1.4.2 and 1.4.4, which are not on the provided page. Those extra claims are not supported by the page."
What do auditors need to check under 12.8.5.b?,325,I don't know.,bad,"The question asks what auditors need to check under 12.8.5.b. The page states they must examine documentation and interview personnel to verify the entity maintains information about which PCI DSS requirements are managed by each TPSP, by the entity, or shared between both entities. The answer 'I don't know' fails to answer despite the page providing the information."
What needs to be included in the in-scope system inventory besides the component names?,308,"An in-scope system inventory needs to include a description of each component’s function or use, not just the component names.

- The inventory must cover all system components in scope for PCI DSS.
- It must include a description of function/use for each component.
- It must be maintained and kept current.

Source: req. 12.5.1 (p. 308)",good,"The page explicitly says the inventory of in-scope system components must include a description of function/use for each and be maintained and kept current. The answer matches this. However, it cites page 308, while the provided page is 304. The substance is still supported by the page, and the page number mismatch does not affect the correctness of the content."
Which requirement must the targeted risk analysis follow for 5.3.2.1?,132,"The targeted risk analysis for 5.3.2.1 must follow Requirement 12.3.1.

- It must be documented.
- It must identify the assets being protected.
- It must identify the threat(s) the requirement is protecting against.
- It must identify factors that affect the likelihood and/or impact of the threat.
- It must justify how the chosen scan frequency minimizes the likelihood and/or impact of the threat.
- It must be reviewed at least once every 12 months.
- It must be updated when the annual review shows it is needed.

Source: req. 5.3.2.1 (p. 132), req. 12.3.1 (p. 300)",bad,"The page states only that the targeted risk analysis must be performed according to all elements specified in Requirement 12.3.1. The answer correctly identifies Requirement 12.3.1, but then adds several specific sub-requirements and cites a page number not supported by the provided page. Those extra details are not contained on this page, so the answer is not fully supported by the page."
What should security policies and procedures include for dealing with review exceptions and anomalies?,255,"Security policies and procedures should define how log-review exceptions and anomalies are recorded, prioritized, escalated, assigned for investigation/remediation, and addressed.

- Record how log review activities are documented.
- Define how exceptions and anomalies are ranked and prioritized.
- Specify how exceptions and anomalies are reported and escalated.
- Assign who is responsible for investigating and for remediation tasks.
- Ensure exceptions and anomalies identified during the review process are addressed.

Source: req. 10.4.3 (p. 251)",good,"The answer matches the page’s good practice bullets and the requirement that exceptions and anomalies identified during the review process are addressed. The cited requirement number 10.4.3 is on the page, and no unsupported claims are added."
"When does 10.7.2 replace 10.7.1, and is it mandatory before then?",261,"10.7.2 applies to all entities and supersedes 10.7.1 starting 31 March 2025, so before that date 10.7.2 is a best practice rather than a mandatory requirement.  
- 10.7.1 applies only to service providers.  
- 10.7.1 is superseded by 10.7.2 as of 31 March 2025.  
- 10.7.2 is a best practice until 31 March 2025.  
- After 31 March 2025, 10.7.2 must be fully considered during a PCI DSS assessment.  

Source: req. 10.7.1 (p. 260), req. 10.7.2 (p. 261)",good,"The answer is supported by the page: it says 10.7.2 applies to all entities, supersedes 10.7.1 as of 31 March 2025, and is a best practice until then, after which it is required and must be fully considered during assessment. The extra claim that 10.7.1 applies only to service providers is also consistent with PCI DSS, but that specific line is not needed to answer the question and does not contradict the page. The citation to p. 260/261 is not verifiable from the provided page but does not affect the substantive correctness."
"What has to be checked for every change to systems or networks, including new systems and new network links, under A3.2.2?",358,"All changes to systems or networks, including new systems and new network links, must have their PCI DSS scope impact determined and then be followed by confirmation that all applicable PCI DSS requirements are in place on the new or changed components.

- Perform a formal PCI DSS impact assessment.
- Identify the applicable PCI DSS requirements for the system or network.
- Update PCI DSS scope as appropriate.
- Get documented sign-off of the impact assessment results by responsible personnel.
- Upon completion of the change, confirm all relevant/applicable PCI DSS requirements are implemented on all new or changed systems and networks.
- Update documentation as applicable.
- Examples of checks include updated network diagrams, configuration standards, required security controls, data storage documentation, and inclusion of new systems in quarterly vulnerability scanning.

Source: req. A3.2.2 (p. 358); req. A3.2.2.1 (p. 359)",bad,"The answer correctly states the items explicitly listed in A3.2.2: formal PCI DSS impact assessment, identifying applicable requirements, updating scope, and documented sign-off. However, it also adds several claims not supported by the provided page, including that after completion of the change one must confirm all applicable requirements are implemented, and examples like updated network diagrams, configuration standards, security controls, data storage documentation, and quarterly vulnerability scanning. It also cites page numbers/requirements not on the provided page. Because it includes unsupported details beyond the page, it is not fully supported."
How do you verify visitors are authorized and escorted in the CDE?,223,"Visitors must be authorized before entering the CDE, escorted at all times, clearly identified with an expiring visitor badge or other identification, and that identification must visibly distinguish visitors from personnel.

- Verify documented procedures cover authorizing and managing visitor access to the CDE.
- Check that visitors are authorized before entering the CDE.
- Check that visitors are escorted at all times within the CDE.
- Confirm visitor badges or other identification are used for all visitors.
- Confirm the badge or identification visibly distinguishes visitors from personnel.
- Confirm the badge or identification expires.
- Confirm the badge or other identification does not permit unescorted access to the CDE.

Source: req. 9.3.2 (p. 223)",good,"The answer matches the page’s requirements for visitor controls in the CDE: authorization before entry, escort at all times, clear identification with expiring badges, distinction from personnel, and no unescorted access. It also reflects the testing procedures on the page. The only issue is the cited page number is wrong (page 219, not 223), but that does not affect the substantive correctness of the answer."
"According to 7.1.1, what has to be true of the security policies and operating procedures listed in Requirement 7?",166,"All security policies and operational procedures identified in Requirement 7 must be documented, kept up to date, in use, and known to all affected parties.

- Documented
- Kept up to date
- In use
- Known to all affected parties

Source: req. 7.1.1 (p. 166)",good,"The answer correctly states all four conditions from Requirement 7.1.1 and answers the question directly. The only minor issue is the page citation says p. 166 while the provided page is 162, but that does not affect the substantive correctness of the answer."
What security responsibility does the TPSP need to formally acknowledge to its customers?,327,"The TPSP must formally acknowledge that it is responsible for securing the account data it holds, stores, processes, or transmits for the customer, including any security impact on the customer’s cardholder data or sensitive authentication data.

- The acknowledgment must cover account data the TPSP possesses or otherwise stores, processes, or transmits on behalf of the customer.
- It must also cover situations where the TPSP could impact the security of the customer’s cardholder data and/or sensitive authentication data.
- The written acknowledgment is provided to customers as part of the TPSP’s written agreements.

Source: req. 12.8.2, 12.9.1 (p. 316, p. 323)",bad,"The answer correctly states the TPSP's responsibility to acknowledge security of account data it possesses/stores/processes/transmits on behalf of the customer, and the possible impact on the customer's cardholder data and sensitive authentication data. However, it cites requirement 12.8.2 and page 316, which are not supported by the provided page. The page only supports 12.9.1 on page 323. Since the question asks what responsibility must be acknowledged, the core substance is right, but the unsupported citation makes the answer not fully supported by the page."
What evidence is checked to confirm there’s a legitimate business reason for storing SAD?,89,"The evidence checked is the documented policies and personnel interviews that verify there is a documented business justification for storing SAD.

- Examine documented policies and interview personnel
- Verify there is a documented business justification for the storage of sensitive authentication data
- This applies for issuers and companies that support issuing services and store SAD

Source: req. 3.3.3.a (p. 85)",good,"The answer matches the page: it correctly states that the testing procedure is to examine documented policies and interview personnel to verify a documented business justification for storing sensitive authentication data, and it correctly identifies the applicable requirement as 3.3.3.a for issuers and companies supporting issuing services."
How must access and permitted actions be set when users query stored CHD through applications or other programmatic methods?,175,"Users querying stored cardholder data through applications or other programmatic methods must have access and allowed actions limited by their roles and least privilege.

- Access and permitted actions must be based on user roles.
- Only the least privileges needed to perform the job function may be granted.
- Direct unfiltered query access to stored CHD is prohibited for end users.
- Only the responsible administrator(s) may directly access or query repositories of stored CHD.

Source: req. 7.2.6 (p. 175); req. 7.2.1 (p. 168)",good,"The answer matches the page: it states that access and allowed actions via applications or other programmatic methods must be based on user roles and least privilege, and that only responsible administrators may directly access/query stored CHD. However, it cites req. 7.2.1 and page 168, which are not on the provided page. The substance is still supported by the page, but the citation is extra and unsupported."
"Who needs to be interviewed to verify 8.1.2, and what should they understand?",181,"1. Interview personnel with responsibility for performing activities in Requirement 8, and they should understand the roles and responsibilities as documented.
- Verify the interviewees are the people responsible for Requirement 8 activities.
- They should understand the roles and responsibilities that are assigned to them.
- The requirements and responsibilities must be documented and assigned, and the personnel must understand them.

Source: req. 8.1.2 (p. 181)",good,"The answer matches the page: 8.1.2.b says to interview personnel with responsibility for performing activities in Requirement 8, and verify that roles and responsibilities are assigned as documented and are understood. The extra details are supported by the page. The cited page number is incorrect, but the substance is still correct and supported by the provided page."
What evidence should be reviewed to confirm anti-spoofing is configured on NSCs?,60,"Anti-spoofing on NSCs should be confirmed by reviewing the vendor documentation and the NSC configurations themselves.

- Verify the NSCs implement measures to detect and block forged source IP addresses.
- Confirm those measures prevent forged source IPs from entering the trusted network.
- Vendor documentation may be especially important because anti-spoofing is often enabled by default and may not be configurable.

Source: req. 1.4.3 (p. 60)",good,"The answer matches the page: it says to examine vendor documentation and configurations for NSCs to verify anti-spoofing measures are implemented, and includes the supported note that products often come with anti-spoofing enabled by default and may not be configurable. The only issue is the page shown is page 56, not 60, but that does not affect correctness of the substance."
How do you verify compliance with 10.6.1 for system clock synchronization?,257,"System clocks and time must be synchronized using time-synchronization technology, and you verify this by checking system configuration settings.

- Examine system configuration settings to verify that time-synchronization technology is implemented.
- Verify the time-synchronization technology is kept current.
- Keeping it current includes managing vulnerabilities and patching it according to PCI DSS Requirements 6.3.1 and 6.3.3.

Source: req. 10.6.1 (p. 253)",good,"The answer matches the page: it states that system clocks and time are synchronized using time-synchronization technology, and the testing procedure is to examine system configuration settings to verify the technology is implemented and kept current. It also correctly includes the applicability note about managing vulnerabilities and patching per 6.3.1 and 6.3.3."
How do you check that the trusted key and certificate inventory is being kept current?,120,"The inventory should be examined to verify it is maintained and kept up to date for all trusted keys and certificates used to protect PAN during transmission.

- Examine documented policies and procedures to confirm processes are defined to maintain the inventory.
- Examine the inventory itself to verify it is kept up to date.
- For certificates, the inventory should include the issuing CA and certificate expiration date.

Source: req. 4.2.1.1 (p. 120)",good,"The answer matches the page’s testing procedures for 4.2.1.1: examine documented policies/procedures for defined processes and examine the inventory to verify it is kept up to date. It also correctly notes the good practice details for certificates. The only issue is the cited page number is wrong (page 116, not 120), but the substance is supported by the page and it identifies the correct requirement number."
What does requirement 9.4 say about protecting media that contains cardholder data?,225,"Media that contains cardholder data must be physically secured, classified, tracked when moved or sent outside the facility, and destroyed when no longer needed.

- All media with cardholder data must be physically secured.
- Offline media backups with cardholder data must be stored in a secure location.
- The security of offline media backup locations must be reviewed at least once every 12 months.
- All media with cardholder data must be classified according to the sensitivity of the data.
- Media moved outside the facility, including to individuals, must be approved by management.
- Inventory logs must be maintained for all electronic media with cardholder data.
- Media sent outside the facility must be logged, sent by a secured/tracked delivery method, and include offsite tracking details.
- Electronic media with cardholder data must be destroyed when no longer needed for business or legal reasons, or the data must be rendered unrecoverable.

Source: req. 9.4, 9.4.1, 9.4.1.1, 9.4.1.2, 9.4.2, 9.4.3, 9.4.4, 9.4.5, 9.4.7 (p. 225-231)",bad,"The page only states that media with cardholder data is securely stored, accessed, distributed, and destroyed, and specifically that all media with cardholder data is physically secured, with offline backups stored in a secure location. The answer adds many requirements not on this page (classification, management approval, inventory logs, secured delivery, destruction details, multiple requirement numbers not on the page), so it is not supported by the provided page."
What does 11.1.2 require about roles for Requirement 11 activities?,266,"Roles and responsibilities for performing Requirement 11 activities must be documented, assigned, and understood.

- The descriptions of roles and responsibilities for Requirement 11 activities must be documented and assigned.
- Personnel with responsibility for Requirement 11 activities must be able to show that the roles and responsibilities are assigned as documented and are understood.
- The requirement’s customized approach objective is that day-to-day responsibilities for all Requirement 11 activities are allocated and personnel are accountable for successful, continuous operation of these requirements.

Source: req. 11.1.2 (p. 266)",good,"The answer matches the page: it states that roles and responsibilities for Requirement 11 activities must be documented, assigned, and understood, and it reflects both the defined approach testing and the customized approach objective shown on the page. The page does not show page 266, but that citation does not affect correctness here."
What should be checked to confirm visitor ID does not allow unescorted CDE access?,223,"Visitor ID should be checked to ensure it is clearly marked as a visitor badge and that it does not allow unescorted access to the CDE.

- Observe the visitor badge or other identification in use.
- Verify it does not permit unescorted access to the CDE.
- Verify it visibly distinguishes visitors from personnel.
- Verify it expires.

Source: req. 9.3.2 (p. 223)",good,"The answer matches the page: it states the visitor ID/badge should be observed, must not permit unescorted access to the CDE, must visibly distinguish visitors from personnel, and must expire. These are all supported by requirement 9.3.2 and testing procedures 9.3.2.c, 9.3.2.d, and 9.3.2.e. The cited page number is off, but that does not affect correctness of substance."
"For 4.1.2, what should an assessor look for in the written evidence?",116,"An assessor should verify that the documentation for Requirement 4 clearly describes the roles and responsibilities for performing Requirement 4 activities and shows they are assigned.

- Examine written documentation to confirm roles and responsibilities for Requirement 4 are documented and assigned.
- The documentation may be in policies and procedures or in separate documents.
- A RACI matrix is an acceptable example of how roles and responsibilities may be documented.
- The written evidence should support that personnel are aware of and understand their assigned responsibilities.

Source: req. 4.1.2 (p. 116)",bad,"The answer correctly says the assessor should examine documentation to verify roles and responsibilities for Requirement 4 are documented and assigned, which matches 4.1.2.a. However, it adds details not on the page, such as the written evidence may be in policies and procedures or separate documents, a RACI matrix as an example, and that the written evidence should show personnel are aware of and understand their responsibilities. Those items are guidance from the page except the page here is only about what to look for in written evidence, and the citation to p. 116 is inconsistent with the provided page 112. Because the answer includes extra claims beyond the written evidence check and cites the wrong page, mark it bad."
What has to be kept for every third-party service provider that handles account data or could affect its security?,319,"A list must be maintained for every third-party service provider that shares account data or could affect its security, and each entry must describe the services provided.

- Include all TPSPs with whom account data is shared or that could affect the security of account data.
- Keep a description of the services provided for each TPSP.
- The list must be maintained as a record of TPSPs and the services they provide.

Source: req. 12.8.1 (p. 319)",good,"The answer matches the page: it says a list of all TPSPs with whom account data is shared or that could affect the security of account data must be maintained, including a description of the services provided for each. The content is supported by requirement 12.8.1. The page shown is page 315, but the cited requirement number 12.8.1 is present on the page; the page number in the source citation is not material here."
What should the review of response procedures confirm under A3.2.5.2.a?,364,"The review of response procedures must confirm that procedures for responding to cleartext PAN found outside the CDE are defined and complete.

- They must cover what to do if cleartext PAN is discovered outside the CDE.
- They must include retrieval, secure deletion, and/or migration into the currently defined CDE, as applicable.
- They must address how the data ended up outside the CDE.
- They must include remediation of data leaks or process gaps that caused the data to be outside the CDE.
- They must identify the source of the data.
- They must identify whether any track data is stored with the PANs.

Source: req. A3.2.5.2.a (p. 360)",good,"The answer accurately states that the review should verify procedures for responding to cleartext PAN outside the CDE are defined and include all elements specified in the requirement. The listed elements match the page exactly, including retrieval, secure deletion and/or migration, determining how the data ended up outside the CDE, remediation of leaks or process gaps, identifying the source, and identifying whether track data is stored with the PANs."
Do the approved privileges need to match the person's assigned role?,171,"The approved privileges need to match the person’s assigned role.

- Required privileges must be approved by authorized personnel.
- Documented approval must exist for the assigned privileges.
- The approval must be by authorized personnel.
- The specified privileges must match the roles assigned to the individual.
- Access is also to be assigned based on job classification and function, using the least privileges necessary.

Source: req. 7.2.3 (p. 171); req. 7.2.2 (p. 170); req. 7.2.1 (p. 168)",bad,"The answer correctly states that specified privileges must match the roles assigned to the individual, which is explicitly on the page. However, it also cites requirements 7.2.2 and 7.2.1 and mentions job classification/function and least privilege, which are not on the provided page. Since the answer includes unsupported claims and cites requirement numbers not on the page, it should be marked bad."
What has to happen before bespoke or custom software goes live or is handed to customers under 6.2.3?,143,"Bespoke and custom software must be reviewed before release to find and fix coding vulnerabilities, and any needed corrections must be made before it goes live or is given to customers.

- Code reviews must ensure the software was developed according to secure coding guidelines.
- Code reviews must look for both existing and emerging software vulnerabilities.
- Appropriate corrections must be implemented prior to release.
- This applies to all bespoke and custom software, both internal and public-facing.
- Code reviews may be manual, automated, or a combination of both.

Source: req. 6.2.3 (p. 143)",good,"The answer correctly states that bespoke/custom software must be reviewed before release to identify and correct vulnerabilities, and that corrections must be implemented prior to release. It also accurately reflects the listed review objectives and notes that reviews may be manual, automated, or both. However, it cites page 143 instead of the provided page 139, but the substance is supported by the page content."
What training must POI staff get to spot tampering or device swaps?,238,"Training for POI staff must teach them to recognize and respond to attempted tampering, unauthorized substitution, and device swaps.

- Verify the identity of any third-party repair or maintenance personnel before granting access to modify or troubleshoot devices.
- Do not install, replace, or return devices without verification.
- Be aware of suspicious behavior around POI devices.
- Report suspicious behavior and any signs of device tampering or substitution to the appropriate personnel.
- Training should also cover questioning anyone claiming to do POI maintenance and verifying they are authorized and have a valid work order.

Source: req. 9.5.1.3 (p. 238)",good,"The answer matches the page’s stated training elements for POI environments: verifying third-party identity, ensuring devices are not installed/replaced/returned without verification, being alert to suspicious behavior, and reporting tampering/substitution. It also correctly reflects the guidance about questioning maintenance personnel and checking authorization/work orders. The cited requirement number is on the page, though the page number in the answer is not relevant to correctness."
How do assessors verify compliance with 6.4.1 when the control is a review process versus an automated solution?,154,"For 6.4.1, assessors verify compliance by checking either the review-process evidence or the automated-solution configuration, logs, and interviews, depending on which control is used.

- If manual or automated vulnerability security assessment tools or methods are used:
  - Examine documented processes.
  - Interview personnel.
  - Examine records of application security assessments.
  - Verify the public-facing web applications are reviewed in accordance with all elements of the requirement specific to the tool/method.
- If an automated technical solution that continually detects and prevents web-based attacks is used:
  - Examine system configuration settings.
  - Examine audit logs.
  - Interview responsible personnel.
  - Verify the solution is installed in accordance with all elements of the requirement specific to the solution.

Source: req. 6.4.1 (p. 154)",good,"The answer matches the page’s testing procedures for 6.4.1: it distinguishes between the review-process path and the automated technical solution path, and lists the correct evidence assessors examine for each. The citation page number is slightly inconsistent with the provided page, but the substance is fully supported by the page."
"Does 9.2.1 apply to areas open to consumers, or only to restricted locations?",217,"9.2.1 does not apply to areas that are publicly accessible by consumers; it applies to facility entry controls that restrict physical access to systems in the CDE in restricted locations.

- It requires appropriate facility entry controls to restrict physical access to systems in the CDE.
- The applicability note says it does not apply to locations publicly accessible by consumers (cardholders).

Source: req. 9.2.1 (p. 217)",good,"The answer correctly states that 9.2.1 does not apply to locations publicly accessible by consumers/cardholders and that it is about facility entry controls restricting physical access to systems in the CDE. However, it cites page 217 instead of the provided page 213. The substance matches the page, and the citation issue does not affect correctness under this rubric."
What do the procedures need to define about removing test data and test accounts before production?,164,"Test procedures must verify that the organization has defined processes for removing test data and test accounts from system components before the system goes into production.

- Policies and procedures must define processes for removal of test data and test accounts before production.
- Testing should confirm this happens for both off-the-shelf software and in-house applications.
- The production environment should not contain test data or test accounts.

Source: req. 6.5.6 (p. 160)",good,"The answer matches the page: it states that procedures/policies must define processes for removing test data and test accounts before production, and that testing verifies this for off-the-shelf and in-house applications. It also correctly notes that production should not contain test data or test accounts. The citation to requirement 6.5.6 is supported by the page."
What do assessors need to review to verify compliance with 3.5.1?,94,"Assessors need to examine documentation, data repositories, audit logs, and, if applicable, controls that prevent correlation between hashed and truncated PANs to verify PAN is rendered unreadable.

- Review documentation about the system used to render PAN unreadable.
- Check the vendor, type of system/process, and encryption algorithms, if applicable.
- Examine data repositories and audit logs, including payment application logs.
- If hashed and truncated versions of the same PAN exist, examine the implemented controls to verify they cannot be correlated to reconstruct the original PAN.

Source: req. 3.5.1.a, 3.5.1.b, 3.5.1.c (p. 94)",bad,"The answer correctly identifies what assessors need to review for 3.5.1: documentation about the system, vendor/type/algorithms if applicable, data repositories and audit logs, and correlation controls when hashed and truncated PAN versions exist. However, it cites page 94, while the provided page is 90. The substantive content is supported by the page, but the incorrect page citation is an unsupported claim."
What does 6.1.2 require for roles and responsibilities tied to Requirement 6 activities?,140,"Roles and responsibilities for performing all activities in Requirement 6 must be documented, assigned, and understood.

- Descriptions of roles and responsibilities for Requirement 6 activities must be documented and assigned.
- Personnel responsible for Requirement 6 activities must be able to verify that the roles and responsibilities are assigned as documented and are understood.
- Good practice notes that roles and responsibilities may be documented in policies/procedures or separate documents.
- A RACI matrix is given as an example method for documenting roles and responsibilities.
- As part of communication, personnel may acknowledge their acceptance and understanding of their assigned roles and responsibilities.

Source: req. 6.1.2 (p. 140)",good,"The answer correctly states that Requirement 6 roles and responsibilities must be documented, assigned, and understood, and its extra details about policies/procedures, separate documents, acknowledgments, and a RACI matrix are all supported by the page. The only issue is the cited page number (p. 140) does not match the provided page, but the substantive content is correct and supported."
