question,document,answer_llm,score,reasoning
What number covers the requirement to document and assign responsibilities for Requirement 9 tasks?,216,The requirement number is **9.1.2**.,good,"The page explicitly states: '9.1.2 Roles and responsibilities for performing activities in Requirement 9 are documented, assigned, and understood.' This matches the question asking which number covers the requirement to document and assign responsibilities for Requirement 9 tasks."
What controls are required at the boundary between trusted and untrusted networks under requirement 1.4?,58,"Under PCI DSS requirement **1.4.1**, the control required at the boundary between trusted and untrusted networks is to have **network security controls (NSCs)** implemented between them.

In practice, this means:
- Defining the boundary in configuration standards and network diagrams
- Placing controls such as **firewalls** or a **DMZ** at that boundary
- Ensuring unauthorized traffic cannot traverse between the networks

Related requirement **1.4.2** further restricts inbound traffic from untrusted networks to only:
- Authorized public services, protocols, and ports
- Stateful responses to trusted-network-initiated communications
- Denying all other traffic",bad,"The answer correctly states that NSCs are required between trusted and untrusted networks, which is supported by 1.4.1 on the page. However, it also cites and describes requirement 1.4.2 and its specific inbound-traffic restrictions, which are not on the provided page. Since it includes claims not supported by the page, it should be marked bad."
What do auditors need to check under 12.8.5.b?,325,"Under **12.8.5.b**, auditors need to check that the **service provider maintains information about which PCI DSS requirements are managed by each service provider** in the shared environment.

In practice, they should verify there is a **list or inventory of applicable PCI DSS responsibilities**, showing:

- **Which PCI DSS requirements are managed by the service provider**
- **Which are managed by the customer**
- That this information is **documented and kept current**

If you want, I can also quote the exact wording of **Requirement 12.8.5.b** and explain how it’s typically tested.",bad,"The answer is not fully supported by the page. The page says auditors must verify the entity maintains information about which PCI DSS requirements are managed by each TPSP, the entity, and any shared between them. The answer incorrectly focuses on the service provider maintaining information, omits the shared-responsibility aspect, and adds a claim about keeping it current that is not stated on the page."
What needs to be included in the in-scope system inventory besides the component names?,308,"Besides the component names, the in-scope system inventory must include a **description of each component’s function/use**.

If you want, I can also summarize what else PCI DSS 12.5.2 expects in scope validation.",good,The page explicitly says the inventory of system components in scope must include a description of function/use for each component. The answer states exactly that and does not add unsupported requirements. The extra offer is irrelevant and harmless.
Which requirement must the targeted risk analysis follow for 5.3.2.1?,132,"For **Requirement 5.3.2.1**, the targeted risk analysis must be performed **according to all elements specified in Requirement 12.3.1**.

That means it must include:
- identification of the assets being protected,
- identification of the threats,
- identification of factors affecting likelihood and/or impact,
- justification for the chosen frequency/processes,
- review at least every 12 months,
- and updated risk analyses when needed.",bad,"The answer correctly states that 5.3.2.1's targeted risk analysis must be performed according to all elements specified in Requirement 12.3.1. However, it then adds specific elements (e.g., assets being protected, threats, factors affecting likelihood/impact, justification, annual review, updates when needed) that are not contained on the provided page. Since the page only supports the reference to Requirement 12.3.1 and not those details, the answer includes unsupported claims."
What should security policies and procedures include for dealing with review exceptions and anomalies?,255,"Security policies and procedures should define a clear process for handling exceptions and anomalies found during log review. At a minimum, they should address:

- How log review activities are recorded
- How exceptions and anomalies are ranked and prioritized
- How they are reported and escalated
- Who is responsible for investigating them
- Who is responsible for any remediation actions

They should also ensure those exceptions and anomalies are actually addressed, not just identified.",good,The answer matches the page’s good practice list and the requirement that exceptions and anomalies identified during the review process are addressed. All claims are supported by the page.
"When does 10.7.2 replace 10.7.1, and is it mandatory before then?",261,"Requirement **10.7.2 replaces 10.7.1 on 31 March 2025**.

Until then, **10.7.2 is not mandatory**; the context says it is a **best practice until 31 March 2025**, and **after that date it will be required and must be fully considered during a PCI DSS assessment**.

So, in short:
- **Before 31 March 2025:** 10.7.2 = best practice, not mandatory
- **As of 31 March 2025:** 10.7.2 supersedes 10.7.1 and becomes required",good,"The answer matches the page: it states that 10.7.2 supersedes 10.7.1 as of 31 March 2025, and that before then it is a best practice rather than a requirement. This is directly supported by the applicability notes on the page."
"What has to be checked for every change to systems or networks, including new systems and new network links, under A3.2.2?",358,"Under **A3.2.2**, for **every change to systems or networks** — including **new systems and new network connections** — the entity has to determine the **PCI DSS scope impact**.

That determination includes:

- **Performing a formal PCI DSS impact assessment**
- **Identifying the applicable PCI DSS requirements** for the system or network
- **Updating PCI DSS scope** as appropriate
- Getting **documented sign-off** of the assessment results by responsible personnel

In addition, under **A3.2.2.1**, after the change is completed, all relevant PCI DSS requirements must be confirmed as implemented on the new or changed systems/networks and documentation updated as needed.",bad,"The first part accurately reflects A3.2.2 and lists the four required process elements from the page. However, the answer adds a claim about 'A3.2.2.1' and post-change confirmation/documentation that is not on the provided page, and it cites a requirement number not present there. Since it includes unsupported extra requirement content, it is not fully supported by the page."
How do you verify visitors are authorized and escorted in the CDE?,223,"Verify it by checking the PCI DSS visitor-control procedures and then observing them in practice:

- **Visitors are authorized before entering the CDE**
- **Visitors are escorted at all times inside the CDE**
- **Visitors wear a badge or other ID that clearly identifies them as visitors**
- **The visitor badge/ID expires and does not allow unescorted access**

Per PCI DSS 9.3.2, the assessor should:
- **Examine documented procedures** and interview personnel
- **Observe visitors in the CDE** to confirm they were authorized and escorted
- **Verify badges/IDs are used for all visitors**, clearly distinguish visitors from personnel, and **expire**
- **Observe the badging system** to ensure visitor IDs do not grant unescorted access

In short: confirm the written process, then watch actual visitor handling in the CDE to verify authorization, escorting, and visitor identification controls are working.",good,"The answer matches the page’s requirements and testing procedures for PCI DSS 9.3.2: visitors must be authorized before entering, escorted at all times, clearly identified with expiring badges/ID that distinguish them from personnel, and assessors should examine procedures and observe visitors and the badging system. No unsupported claims are made."
"According to 7.1.1, what has to be true of the security policies and operating procedures listed in Requirement 7?",166,"According to **7.1.1**, all security policies and operational procedures identified in Requirement 7 must be:

- **Documented**
- **Kept up to date**
- **In use**
- **Known to all affected parties**",good,The answer exactly matches the four bullet points listed in Requirement 7.1.1 on the page and does not add unsupported claims.
What security responsibility does the TPSP need to formally acknowledge to its customers?,327,"The TPSP must formally acknowledge that it is **responsible for the security of account data it possesses or otherwise stores, processes, or transmits on behalf of the customer** — and, more broadly, for **any security impact it may have on the customer’s cardholder data and/or sensitive authentication data**.",good,"The answer matches Requirement 12.9.1 on the page: TPSPs must provide written acknowledgments that they are responsible for the security of account data they possess or otherwise store, process, or transmit on behalf of the customer, or to the extent they could impact the security of the customer’s cardholder data and/or sensitive authentication data. It directly answers the question and is supported by the page."
What evidence is checked to confirm there’s a legitimate business reason for storing SAD?,89,"The evidence checked is:

- **Documented policies and procedures**
- **Interviews with personnel**
- For issuers/supporting issuing services, a **documented business justification** for storing SAD

Specifically, PCI DSS **3.3.3.a** says to **examine documented policies and interview personnel to verify there is a documented business justification for the storage of sensitive authentication data**.",good,"The answer matches the page: it states that documented policies and interviews with personnel are examined to verify a documented business justification for storing sensitive authentication data. This is exactly what 3.3.3.a says, and no unsupported claims are added."
How must access and permitted actions be set when users query stored CHD through applications or other programmatic methods?,175,"When users query stored CHD through applications or other programmatic methods, access and allowed actions must be **based on user roles and least privilege**.

In other words:
- grant only the **minimum permissions needed** for the user’s job function,
- allow access **through applications or controlled programmatic methods** only,
- and reserve **direct query access** to stored CHD **only for the responsible administrator(s)**.",good,"The answer matches the page: it states that access and allowed actions via applications or other programmatic methods must be based on user roles and least privilege, and that direct query access is only for responsible administrators. All claims are supported by requirement 7.2.6 and the guidance on least privileges."
"Who needs to be interviewed to verify 8.1.2, and what should they understand?",181,"For **8.1.2**, the tester should interview **personnel who have responsibility for performing activities in Requirement 8**.

They should understand that:

- their **roles and responsibilities are assigned as documented**, and
- they **understand those responsibilities** in practice.

In short: interview the people responsible for Requirement 8 tasks, and confirm they know what they’re responsible for.",good,The answer matches the page: 8.1.2.b says to interview personnel with responsibility for performing activities in Requirement 8 and verify roles/responsibilities are assigned as documented and are understood. No unsupported claims are added.
What evidence should be reviewed to confirm anti-spoofing is configured on NSCs?,60,"To confirm anti-spoofing is configured on NSCs, review:

- **Vendor documentation** for the NSC product(s), to verify anti-spoofing is supported and how it is configured.
- **NSC configuration settings / rulesets**, to confirm anti-spoofing measures are implemented to **detect and block forged source IP addresses** from entering the trusted network.

In short, the evidence should show both the **vendor guidance** and the **actual NSC configuration** demonstrating anti-spoofing is enabled.",good,The answer matches the page: the testing procedure says to examine vendor documentation and configurations for NSCs to verify anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network. The extra mention of rulesets is not contradicted by the page and is consistent with configurations.
How do you verify compliance with 10.6.1 for system clock synchronization?,257,"To verify compliance with **PCI DSS 10.6.1** for system clock synchronization, you would:

- **Examine system configuration settings** on in-scope systems to confirm that **time-synchronization technology is implemented**.
- Verify that the synchronization technology is **kept current**.

In practice, this means confirming things like:

- Systems are configured to sync time via a technology such as **NTP**.
- The time-sync service is enabled and active.
- The time-sync software/agent is **patched and vulnerability-managed** in line with **PCI DSS 6.3.1 and 6.3.3**.

The test procedure from the standard is:

- **“Examine system configuration settings to verify that time-synchronization technology is implemented and kept current.”**

If you want, I can also give you a short audit-ready evidence checklist for 10.6.1.",good,"The answer matches the page: it says to examine system configuration settings to verify time-synchronization technology is implemented and kept current, and correctly notes NTP as an example and the applicability note about managing vulnerabilities and patching per 6.3.1 and 6.3.3. Nothing contradicts the page."
How do you check that the trusted key and certificate inventory is being kept current?,120,"To check that the trusted key and certificate inventory is being kept current, PCI DSS says to:

1. **Examine the documented policies and procedures** to confirm there are defined processes for maintaining the inventory of trusted keys and certificates.
2. **Examine the inventory itself** to verify it is **kept up to date**.
3. **Interview personnel / the inventory owner** to confirm it is maintained and kept current.

Good practice is for the inventory to include details such as the **issuing CA** and **certificate expiration date**. An assigned owner also helps ensure it stays current.",bad,"The answer correctly states the two testing procedures on the page: examine documented policies and procedures, and examine the inventory to verify it is kept up to date. However, it adds an interview personnel / inventory owner step that is not on the page, and although 'owner' is mentioned in the standard's testing procedure context elsewhere, this page does not include that interview step. The extra detail is unsupported, so the answer is not fully supported by the page."
What does requirement 9.4 say about protecting media that contains cardholder data?,225,"Requirement 9.4 says that **media containing cardholder data must be securely stored, accessed, distributed, and destroyed**.

In particular, it requires that:
- **All media with cardholder data is physically secured**.
- **Offline media backups** with cardholder data are stored in a **secure location** and their security is **reviewed at least every 12 months**.
- All media is **classified according to the sensitivity of the data**.
- Media moved outside the facility is **management-approved**, **logged**, and **tracked**.
- Electronic media is **inventoried**.
- When no longer needed, electronic media with cardholder data is **destroyed or made unrecoverable**.

If you want, I can also summarize the specific sub-requirements 9.4.1 through 9.4.7 in one table.",bad,"The answer correctly states the general guidance that media with cardholder data is securely stored, accessed, distributed, and destroyed, and correctly mentions that all media with cardholder data is physically secured. However, it adds many claims not supported by the provided page, such as review every 12 months, classification according to sensitivity, management approval/logging/tracking for media moved outside the facility, inventorying electronic media, and destroying electronic media when no longer needed. These are not on the page and some appear to come from other requirements."
What does 11.1.2 require about roles for Requirement 11 activities?,266,"Requirement 11.1.2 requires that **roles and responsibilities for performing Requirement 11 activities are documented, assigned, and understood**.

In practice, this means:
- the roles are **written down**,
- they are **formally assigned** to personnel, and
- the personnel involved **understand** their responsibilities.

The customized approach objective also says day-to-day responsibilities for all Requirement 11 activities must be allocated, with personnel accountable for continuous operation.",good,"The answer accurately states that 11.1.2 requires roles and responsibilities for Requirement 11 activities to be documented, assigned, and understood. It also correctly reflects the customized approach objective about allocating day-to-day responsibilities and accountability. All claims are supported by the page."
What should be checked to confirm visitor ID does not allow unescorted CDE access?,223,"To confirm a visitor ID **does not allow unescorted CDE access**, check that:

- The visitor badge or other identification is **visibly distinguishable from personnel IDs**
- It is **clearly marked as visitor identification**
- It **expires** and is **surrendered or deactivated** when the visit ends
- It is **not usable for unescorted access** to the CDE

In PCI DSS testing terms, you should **observe the use of visitor badges/ID to verify the badge does not permit unescorted access to the CDE**.",good,"The answer correctly identifies the page’s requirement to observe visitor badges or identification to verify they do not permit unescorted access to the CDE. It also includes related points supported by the page, such as visitor IDs being distinguishable and expiring. However, the phrase about being ""surrendered or deactivated"" is not stated on the page, but it does not contradict it. Overall, the substance matches the page."
"For 4.1.2, what should an assessor look for in the written evidence?",116,"For **4.1.2**, the written evidence should show that the **roles and responsibilities for all Requirement 4 activities are documented and assigned**.

An assessor should look for things like:

- **Written descriptions of roles and responsibilities** for Requirement 4 activities
- Evidence that those responsibilities are **assigned to specific personnel or roles**
- This can be in **policies and procedures** or in a **separate document**
- A **RACI matrix** or similar responsibility assignment matrix is an acceptable example

In short, the written evidence should make it clear **who is responsible for what** in Requirement 4.",good,The answer matches the page: 4.1.2.a says to examine documentation to verify descriptions of roles and responsibilities for Requirement 4 are documented and assigned. The extra note about policies/procedures or a RACI matrix is also supported by the guidance on the page. The answer does not add unsupported requirements and addresses the question about written evidence.
What has to be kept for every third-party service provider that handles account data or could affect its security?,319,"A list of all third-party service providers, including a description of the services each one provides.",good,"The page states that a list of all TPSPs with whom account data is shared or that could affect its security must be maintained, including a description for each of the services provided. The answer matches this requirement."
What should the review of response procedures confirm under A3.2.5.2.a?,364,"Under **A3.2.5.2.a**, the review of documented response procedures should confirm that the procedures for responding to the detection of **cleartext PAN outside the CDE** are **defined** and include all required elements, specifically:

- what to do if cleartext PAN is discovered outside the CDE, including **retrieval, secure deletion, and/or migration into the CDE** as applicable;
- **how the data ended up outside the CDE**;
- **remediation of the data leak or process gaps** that caused it;
- **identification of the source of the data**; and
- whether **any track data is stored with the PANs**.",good,"The answer matches the page: A3.2.5.2.a requires examining documented response procedures to verify they are defined and include all elements listed in A3.2.5.2, and the answer accurately enumerates those elements. No unsupported claims are added."
Do the approved privileges need to match the person's assigned role?,171,"Yes. Under PCI DSS requirement 7.2.3, the documented approval for assigned privileges must match the roles assigned to the individual. The testing procedure specifically says to verify that “specified privileges match the roles assigned to the individual.”  

In short: approved privileges should align with the person’s assigned role and job function, using least privilege principles.",good,"The answer is supported by the page: it cites requirement 7.2.3 and correctly notes that the testing procedure says specified privileges must match the roles assigned to the individual. The extra mention of job function and least privilege is consistent with the page's purpose statement, though the page does not explicitly say 'least privilege.'"
What has to happen before bespoke or custom software goes live or is handed to customers under 6.2.3?,143,"Before bespoke or custom software goes live or is handed to customers under **6.2.3**, it must be **reviewed for coding vulnerabilities** and **approved for release**.

Specifically, the code review must:

- confirm the software was developed according to **secure coding guidelines**
- look for **existing and emerging vulnerabilities**
- identify issues and have the **appropriate corrections implemented before release**

PCI DSS also notes this review should happen **prior to release into production or to customers**, with a **formal review and management signoff** as good practice.",good,"The answer matches the page: 6.2.3 requires bespoke/custom software to be reviewed before production or customer release, to identify and correct vulnerabilities, ensure secure coding guidelines were followed, and implement corrections before release. It also mentions management signoff as good practice, which is supported by the page. The wording 'approved for release' is consistent with the page's review/signoff purpose."
What training must POI staff get to spot tampering or device swaps?,238,"POI staff must be trained to **recognize and report attempted tampering or device substitution**. Specifically, the training should cover:

- **Verifying the identity of third-party repair/maintenance personnel** before giving them access
- **Making sure devices are not installed, replaced, or returned without verification**
- **Being alert to suspicious behavior around POI devices**
- **Reporting suspicious behavior or signs of tampering/substitution to the right personnel**

In practice, that also means staff should know to **question anyone claiming to do maintenance**, confirm they have a valid work order, and verify any “new” device with their manager or supplier before using it.",good,"The answer matches the page's stated training elements for personnel in POI environments: verify third-party identity, ensure devices are not installed/replaced/returned without verification, be aware of suspicious behavior, and report suspicious behavior/tampering. The additional examples about questioning maintenance personnel and verifying with a manager or supplier are also supported by the guidance on the page."
How do assessors verify compliance with 6.4.1 when the control is a review process versus an automated solution?,154,"Assessors verify **6.4.1 differently depending on which option the organization uses**:

### If the organization uses a **manual or automated review process**
Assessors will:

- **Examine documented processes**
- **Interview personnel**
- **Examine records of application security assessments**

They verify that public-facing web applications are reviewed in line with all 6.4.1 elements, including:

- at least annually and after significant changes
- by an entity specializing in application security
- covering all common software attacks in 6.2.4
- vulnerabilities ranked per 6.3.1
- vulnerabilities corrected
- re-evaluation after fixes

### If the organization uses an **automated technical solution**
Assessors will:

- **Examine system configuration settings**
- **Examine audit logs**
- **Interview responsible personnel**

They verify the solution is installed and operating according to 6.4.1 requirements, including that it:

- is installed in front of the web application
- is actively running and up to date
- generates audit logs
- either blocks attacks or generates alerts that are immediately investigated

In short:  
- **Review process = documentation, personnel interviews, and assessment records**
- **Automated solution = system settings, audit logs, and personnel interviews**",good,"The answer matches the page: it distinguishes the two verification paths and lists the exact assessor procedures for each (documented processes, interviews, and assessment records for review processes; configuration settings, audit logs, and interviews for automated solutions). It also accurately summarizes the 6.4.1 elements tied to each method. No unsupported claims are made."
"Does 9.2.1 apply to areas open to consumers, or only to restricted locations?",217,"9.2.1 applies to **restricting physical access to systems in the CDE**, but the **Applicability Notes explicitly say it does not apply to locations that are publicly accessible by consumers (cardholders)**.

So, in short:

- **Applies:** restricted locations / areas where systems in the CDE are physically accessed
- **Does not apply:** areas open to consumers in public-facing spaces

If you want, I can also help interpret how this differs from 9.2.2 and 9.2.3.",good,The answer correctly states that 9.2.1 is about restricting physical access to systems in the CDE and that the Applicability Notes say it does not apply to publicly accessible locations. This directly answers the question and is supported by the page.
What do the procedures need to define about removing test data and test accounts before production?,164,"The procedures need to **define how test data and test accounts are removed from system components before the system goes into production**.

In other words, the documented process should ensure that **no test data or test accounts remain in production environments**.",good,"The answer matches the page: it says procedures must define removal of test data and test accounts from system components before production, and it also correctly notes that none should remain in production."
What do assessors need to review to verify compliance with 3.5.1?,94,"To verify compliance with **3.5.1**, assessors need to review:

- **Documentation about the system used to render PAN unreadable**  
  including the **vendor**, **type of system/process**, and **encryption algorithms** if applicable, to confirm one of the approved methods is used.

- **Data repositories and audit logs**  
  including **payment application logs**, to verify PAN is rendered unreadable.

- **Implemented controls for correlation prevention**  
  if **hashed and truncated versions of the same PAN** are present, assessors must verify the controls prevent correlation that could reconstruct the original PAN.",good,"The answer matches the page's testing procedures for 3.5.1: review documentation about the PAN-unreadable system (vendor, type, algorithms if applicable), review data repositories and audit logs including payment application logs, and if hashed and truncated PAN versions coexist, review controls to ensure they cannot be correlated to reconstruct the original PAN. These are all supported by the page."
What does 6.1.2 require for roles and responsibilities tied to Requirement 6 activities?,140,"Requirement **6.1.2** requires that **roles and responsibilities for performing activities in Requirement 6 are documented, assigned, and understood**.

In practice, that means:
- the roles/responsibilities are formally written down,
- they are assigned to specific personnel, and
- those personnel understand what they are responsible for.

The testing procedures verify this by:
- examining documentation to confirm the roles are documented and assigned, and
- interviewing responsible personnel to confirm the assignments match the documentation and are understood.

The customized approach objective is that **day-to-day responsibilities for all Requirement 6 activities are allocated, and personnel are accountable for the successful, continuous operation of those requirements**.",good,"The answer matches the page: it states that roles and responsibilities for Requirement 6 activities must be documented, assigned, and understood, and it accurately summarizes both testing procedures and the customized approach objective. No unsupported claims are made."
What does Requirement 9 say about restricting physical access to cardholder data?,215,"Requirement 9 says that **physical access to cardholder data and systems in the CDE must be restricted and controlled**. In particular, it requires appropriate facility entry controls so that **only authorized personnel can access systems in the CDE**.

In short: use physical security controls like **badge readers, locks, keys, or similar mechanisms** to prevent unauthorized physical access.",bad,"The page provided only states Requirement 9.1 guidance and Requirement 9.1.1 about security policies and operational procedures for Requirement 9 being documented, kept up to date, in use, and known to affected parties. It does not say that physical access to cardholder data must be restricted/controlled, mention CDE systems access controls, or list badge readers, locks, or keys. Those claims are not supported by the page."
What are some acceptable ways to confirm a user’s identity before a password reset or token change?,192,"Acceptable ways to confirm a user’s identity before a password reset or token change include:

- **A secret question/answer**
- **Knowledge-based verification** (for example, asking for information only the real user should know)
- **Calling the user back at a known, previously established phone number**

PCI DSS also notes that the **administrator or help desk personnel can validate that the actual account owner is requesting the change**, or a **self-service reset mechanism** may be used where the account owner verifies identity.",bad,"The answer correctly lists the examples explicitly given on the page: secret question/answer, knowledge-based information, and calling the user back at a known previously established phone number. However, it also adds claims about an administrator/help desk validating the actual account owner and a self-service reset mechanism, which are not stated on the provided page. Because it includes unsupported extra requirements/details, it should be marked bad."
"For A3.3.1.1, what steps must the response process include?",368,"For **A3.3.1.1**, the response process for failures of critical security control systems must include:

- **Restoring security functions**
- **Identifying and documenting the duration** of the security failure, including **start and end date/time**
- **Identifying and documenting the cause(s)** of the failure, including **root cause**, and the **remediation required**
- **Identifying and addressing any security issues** that arose during the failure
- **Determining whether further actions are required**
- **Implementing controls to prevent recurrence** of the failure cause
- **Resuming monitoring of security controls**

It must also be **responded to promptly**.",good,The answer matches the page’s listed response-process steps for A3.3.1.1 and includes the prompt response requirement. All claims are supported by the page.
What should an assessor review to confirm cleartext key components are limited to necessary custodians?,104,An assessor should review **user access lists** to verify that access to **cleartext cryptographic key components** is restricted to the **fewest number of custodians necessary**.,good,The answer directly matches the testing procedure on the page: examine user access lists to verify access to cleartext cryptographic key components is restricted to the fewest number of custodians necessary.
How must suspected or confirmed incidents and vulnerabilities be handled after they’re reported?,345,"Suspected or confirmed incidents and vulnerabilities must be:

- **Reported through a secure mechanism** where applicable.
- **Addressed and remediated according to the organization’s documented incident response procedures**.
- **Handled immediately / promptly**, with **designated 24/7 personnel available** to respond to suspected or confirmed security incidents.
- For incidents, the response plan must already exist and be ready to activate, including containment, mitigation, recovery, backup, legal reporting, and notification steps.

In short: **report them securely, then respond to them quickly and in line with the incident response plan and remediation process.**",bad,"The page supports that customers can securely report security incidents and vulnerabilities, and that the provider addresses and remediates suspected or confirmed incidents and vulnerabilities according to Requirement 6.3.1. However, the answer adds details not on the page, such as immediate response, designated 24/7 personnel, and specific incident response plan elements like containment, mitigation, recovery, backup, legal reporting, and notification. These claims are not supported by the provided page."
Which tasks are covered by the quarterly review requirement in 12.4.2?,306,"Requirement **12.4.2** covers these tasks for the quarterly review:

- **Daily log reviews**
- **Configuration reviews for network security controls**
- **Applying configuration standards to new systems**
- **Responding to security alerts**
- **Change-management processes**

It applies **only to service providers**, and the reviews must be done by **personnel other than those performing the task**.",good,The answer lists exactly the tasks named on the page for 12.4.2 and correctly notes that it applies only to service providers and that reviews are done by personnel other than those performing the task. All claims are supported by the page.
