question,document
How do you verify compliance with requirement 1.4.2 on network security controls?,59
Can UDP still be used if the firewall or other NSC tracks connection state for 1.4.2?,59
What is the exact rule in PCI DSS 1.4.2 for traffic entering trusted networks?,59
What anti-spoofing control is required for trusted-network traffic?,60
How do you test that forged source IPs are being blocked at network controls?,60
What does requirement 1.4.3 say about packets with spoofed source addresses?,60
What evidence should be reviewed to confirm anti-spoofing is configured on NSCs?,60
What is the security goal of anti-spoofing under 1.4.3?,60
What has to be true for systems that store card data and untrusted networks?,61
How do you check that card-data storage isn’t reachable from an untrusted network?,61
What evidence should show that databases or files with card data are only reachable from trusted networks?,61
"Does 1.4.4 apply to data held only in RAM, or only when memory is used like persistent storage?",61
"Under 1.4.4, what should NSC settings prevent for components storing cardholder data?",61
What has to be done with internal IP addresses and routing details so only approved parties can see them?,62
How do I verify 1.4.5 in a review of network controls?,62
What do I check in NSC settings for requirement 1.4.5?,62
What does the assessor need to ask staff and review to confirm 1.4.5 is in place?,62
What is the objective of 1.4.5 under the customized approach?,62
What controls have to be in place on devices that connect to both the Internet and the CDE?,63
"Can employees change those device protections, or does management need to approve exceptions?",63
How do you check that the controls for dual-connected devices are actually implemented?,63
"What does PCI say about company-owned and employee-owned laptops, tablets, and phones that reach the CDE?",63
"Under requirement 1.5.1, what specific configuration and running-status conditions must be met?",63
What does 2.1.1 require for the security policies and operational procedures in Requirement 2?,66
How do you verify compliance with 2.1.1 for Requirement 2 policies and procedures?,66
"Are policies and procedures under Requirement 2 supposed to be documented, current, used, and known to the right people?",66
What is the goal of Requirement 2.1.1 in terms of managing policies and procedures?,66
How often should security policies and procedures be updated when changes happen?,66
What does 2.1.2 require for roles and responsibilities tied to Requirement 2 activities?,67
How do you prove that Requirement 2 responsibilities are documented and assigned?,67
What should auditors ask staff to confirm under 2.1.2?,67
"Can roles and responsibilities for Requirement 2 be kept in a separate document, or must they be in policies and procedures?",67
What is the objective of 2.1.2 in the customized approach?,67
What has to be covered in the system configuration standards under requirement 2.2.1?,68
How do you verify that the configuration standards were updated when new vulnerabilities were found?,68
When do the secure configuration standards need to be applied for a new system joining production?,68
What does requirement 2.2 say about how system components must be managed?,68
What evidence is reviewed to confirm requirement 2.2.1 is in place?,68
What has to be done with vendor default accounts under 2.2.2?,69
"When is a default account allowed to stay in use, and what must happen to its password?",69
How do auditors verify compliance with requirement 2.2.2?,69
What systems and account types are covered by the default-account rule?,69
What does 2.2.2.c ask you to check about unused vendor default accounts?,69
What are the allowed ways to handle primary functions that need different security levels on the same system component?,70
"When multiple functions with different security needs run together, what has to be done to keep the higher-risk function from lowering the system’s security?",70
How do I verify compliance with requirement 2.2.3 for managing functions with different security levels?,70
What extra check applies under 2.2.3 when virtualization is in use?,70
"Is it acceptable for one system component to host more than one primary function, and if so, under what conditions?",70
"What does requirement 2.2.4 say about services, protocols, daemons, and functions that aren’t needed?",72
How do you check that only required functionality is enabled under 2.2.4?,72
What documentation has to exist for the services and functions kept on systems for 2.2.4.a?,72
What should the configuration review confirm in 2.2.4.b?,72
Why does PCI DSS want unnecessary functionality removed or disabled?,72
"When an insecure service, protocol, or daemon is still in use, what has to be documented and put in place?",73
How do you prove insecure services or protocols are being handled correctly under requirement 2.2.5?,73
What should auditors look at to check that the extra security controls for insecure daemons are actually configured?,73
"If an insecure network service exists, what kind of justification is required?",73
"What does requirement 2.2.5 require to reduce the risk from insecure services, protocols, and daemons?",73
What does PCI require for system security parameter settings to stop misuse?,74
How do you check that configuration standards cover the right security parameters?,74
What should admins or security managers know about common system parameter settings?,74
How do you verify actual system settings match the configuration standard for 2.2.6?,74
What is the objective of requirement 2.2.6 in the customized approach?,74
What does PCI DSS require for remote or other non-console admin access?,75
How do I prove non-console administrative access is protected with strong encryption?,75
What should I check in system settings to make sure insecure remote login services aren’t being used for admin access?,75
Does the strong-crypto requirement cover browser-based admin portals and APIs?,75
"For requirement 2.2.7, what evidence does an assessor need to review?",75
What has to be done with wireless vendor defaults when a wireless network connects to the CDE or carries card data?,76
Which specific wireless defaults are called out as needing to be changed or confirmed secure under 2.3.1?,76
How does the assessor check that wireless defaults were handled properly in 2.3.1?,76
Are SNMP defaults and access point passwords allowed to stay at factory settings on wireless devices?,76
What is the main security goal of requirement 2.3 for wireless environments?,76
When do wireless encryption keys have to be rotated for networks tied to the CDE or carrying card data?,77
What should happen to a wireless key if someone who knew it leaves or no longer needs it for their job?,77
How are suspected or confirmed compromised wireless encryption keys supposed to be handled?,77
What does PCI expect the assessor to check to confirm compliance with requirement 2.3.2?,77
"For requirement 2.3.2, what is the security goal for wireless key management?",77
What has to be true for the security policies and procedures in Requirement 3 to meet 3.1.1?,79
How do you test that the Requirement 3 policies and procedures are being managed properly?,79
"Are the Requirement 3 policies and operational procedures supposed to be documented, current, used, and known by the right people?",79
What does PCI mean by the processes and mechanisms for protecting stored account data being defined and understood in 3.1?,79
"For 3.1.1, what evidence would an assessor look at besides documents?",79
What does 3.1.2 require for the people handling Requirement 3 activities?,80
How do you prove roles and responsibilities for Requirement 3 are assigned and understood?,80
What should be checked in the documentation for 3.1.2?,80
What should staff interviews confirm under 3.1.2?,80
"For requirement 3.1.2, what is the objective of the customized approach?",80
What has to be covered in a data retention and disposal policy for stored account data?,81
How often do we need to check that data past its retention period was deleted or made unrecoverable?,81
What does requirement 3.2.1 say must be included in the retention and disposal process?,81
How is compliance with 3.2.1 verified during an assessment?,81
What storage limits apply to account data and pre-authorization SAD under requirement 3.2?,81
What does Requirement 3.3 say about storing sensitive authentication data after authorization?,83
"Under 3.3.1, does encrypting SAD make it okay to keep after authorization?",83
How do you verify that SAD is not retained once the authorization response comes back?,83
What evidence does 3.3.1.a ask for to confirm SAD isn’t stored after authorization?,83
Are issuers or issuer-support providers allowed to keep SAD if they have a documented business need?,83
What has to happen to full track data after authorization is finished?,84
"For requirement 3.3.1.1, what do you need to inspect to confirm track data isn’t being kept?",84
Which track data fields are still allowed to be retained for business use?,84
Can requirement 3.3.1.1 be handled under the customized approach?,84
What kinds of places should be checked for accidental storage of full magnetic-stripe or chip track data?,84
What has to happen to the card verification code after authorization is done?,85
How do you check whether the card verification code is being kept anywhere?,85
Which data sources should be reviewed to make sure the card verification code isn’t retained?,85
What is PCI requirement 3.3.1.2 asking for?,85
Is this requirement allowed under the customized approach?,85
What has to happen to PINs and PIN blocks after authorization is finished?,86
How does an assessor check that PIN data isn’t being kept after auth?,86
Which PCI DSS requirement says PIN and PIN blocks can’t be stored once authorization is complete?,86
Can an organization keep encrypted PIN blocks after the transaction is authorized?,86
What kinds of systems or records should be reviewed to confirm PINs and PIN blocks aren’t retained?,86
What does Req. 3.3.2 require for electronically stored SAD before authorization is finished?,87
How do you verify compliance with 3.3.2?,87
Does 3.3.2 allow a customized approach?,87
What kind of encryption is required for stored SAD prior to authorization completion?,87
What evidence should an assessor review to check 3.3.2?,87
What does requirement 3.3.3 say issuers can do with sensitive authentication data they store?,89
How must stored sensitive authentication data be protected under 3.3.3?,89
What evidence is checked to confirm there’s a legitimate business reason for storing SAD?,89
What do assessors examine to confirm SAD is stored securely?,89
"For issuers and companies supporting issuing services, what is the testing step in 3.3.3.a?",89
"What has to be masked when PAN is shown, and what’s the most that can be visible by default?",91
Which people are allowed to see more than the BIN and last four digits of a PAN?,91
What documented evidence has to exist for roles that need full PAN access?,91
How do you check that systems only show full PAN to approved roles?,91
"What do the testing steps for 3.4.1 look for in policies, configurations, and actual screens or receipts?",91
What controls are needed to stop PAN being copied or moved when people connect remotely?,93
Who is allowed to copy or relocate PAN over remote-access tools?,93
How do you test compliance with requirement 3.4.2?,93
What evidence needs to exist for users who are permitted to copy or move PAN?,93
"Is 3.4.2 mandatory now, or only a best practice until 31 March 2025?",93
How must stored PAN be protected so it can’t be read back in clear text?,94
What methods are acceptable for requirement 3.5.1 to make PAN unreadable at rest?,94
"If both hashed and truncated PAN versions exist, what extra controls are needed to keep them from being combined?",94
What do assessors need to review to verify compliance with 3.5.1?,94
"Does the PAN unreadable-at-rest rule also cover backups and logs, or only databases?",94
What has to be true about hashes used to make stored PAN unreadable under 3.5.1.1?,95
Which key management requirements apply to keyed hashes of PAN in 3.5.1.1?,95
How does an assessor verify 3.5.1.1 for the hashing method and key handling?,95
What evidence should be reviewed to confirm PAN is unreadable in repositories and logs for 3.5.1.1?,95
"Does 3.5.1.1 require the hash to cover the full PAN, and if so, how is that checked?",95
When is disk- or partition-level encryption allowed to make PAN unreadable?,97
"If a non-removable drive uses disk-level encryption, what else has to be done to PAN?",97
Which storage type can rely on disk- or partition-level encryption by itself?,97
What does the tester need to examine to confirm 3.5.1.2 is met?,97
What does 3.5.1.2.b require the assessor to check in vendor docs and system setup?,97
"When is disk or partition encryption acceptable for protecting PAN, and what extra controls must go with it?",99
How should logical access be handled if disk-level encryption is used instead of file- or field-level encryption?,99
Can decryption keys be tied to user accounts under requirement 3.5.1.3?,99
What does the assessor need to inspect to confirm 3.5.1.3 is implemented correctly?,99
"Are passwords, passphrases, or cryptographic keys that unlock unencrypted data allowed to rely on normal OS login controls?",99
What controls are required for protecting cryptographic keys that secure stored account data?,100
What has to be included in key-management procedures for requirement 3.6.1?,100
How do you verify that key-protection processes for stored account data are documented and implemented?,100
"Are the controls in 3.6.1 only for data-encrypting keys, or do they also apply to key-encrypting keys?",100
How should key-encrypting keys be handled in relation to data-encrypting keys and storage locations?,100
What has to be documented in the cryptographic architecture for service providers?,101
"Does the crypto architecture record need to include algorithms, protocols, keys, and their strength/expiry?",101
"Is there a requirement to keep production and test cryptographic keys separate, and is it mandatory yet?",101
"What inventory details are needed for HSMs, KMS, and other secure cryptographic devices?",101
How do assessors verify compliance with requirement 3.6.1.1?,101
What forms can secret and private keys be kept in to protect stored account data under 3.6.1.2?,103
How do you verify that the keys used to encrypt or decrypt stored account data are only kept in approved forms?,103
"If a key-encrypting key is used, what must be true about its strength and where it’s stored compared with the data-encrypting key?",103
Can the required keys be stored inside an HSM or PTS-approved point-of-interaction device?,103
What evidence does 3.6.1.2 ask the assessor to review for key storage and key-encrypting key separation?,103
What does 3.6.1.3 require for who can access cleartext key components?,104
How do you test compliance with 3.6.1.3?,104
What’s the minimum access control expectation for cryptographic key custodians?,104
"Under PCI DSS 3.6.1.3, who should be allowed to handle key components?",104
What should an assessor review to confirm cleartext key components are limited to necessary custodians?,104
What does PCI DSS 3.6.1.4 require for where cryptographic keys are kept?,105
How should a reviewer check compliance with requirement 3.6.1.4?,105
Why does PCI DSS want cryptographic keys stored in only a few places?,105
What is the objective for the customized approach under 3.6.1.4?,105
Which requirement covers limiting cryptographic key storage locations?,105
What key-management process is required for encrypted stored account data under 3.7?,106
How do you test that strong cryptographic keys are generated for stored account data under 3.7.1?,106
What does 3.7.2 require for distributing cryptographic keys that protect stored account data?,106
How is secure key distribution verified for Requirement 3.7.2?,106
What do the key-management policies need to cover for the lifecycle of keys used to protect stored account data?,106
What key-management rule applies to cryptographic keys used to protect stored account data?,107
How do I show that keys for stored account data are being kept securely?,107
What do the key-management policies need to say about storing cryptographic keys?,107
"For requirement 3.7.3, what should the assessor look for in the policies and procedures?",107
What does the testing for 3.7.3 involve checking about key storage?,107
What has to be in key-management procedures for keys that expire?,108
How do you verify that stored-data encryption keys are being rotated on time?,108
What does PCI DSS 3.7.4 require for cryptoperiods and key changes?,108
"Which people, records, or locations should be checked to confirm key rotation at cryptoperiod end?",108
What is the objective of requirement 3.7.4?,108
"When do stored-account-data keys have to be retired, replaced, or destroyed under 3.7.5?",109
What must happen to a key after it reaches the end of its cryptoperiod?,109
How is compliance with the key retirement/replacement/destruction process checked for 3.7.5?,109
What happens if a cleartext key component holder leaves the company or the role?,109
"If an old key has to be kept, how should it be stored and can it still be used to encrypt data?",109
What has to be in place for manual cleartext key-management operations under PCI DSS 3.7.6?,110
How do I prove split knowledge and dual control for stored-account-data keys?,110
What does 3.7.6.a require the assessor to look for in the key-management documentation?,110
What does PCI DSS say about a key that is just split into two pieces?,110
How must secret or private key shares be generated to meet the requirement?,110
What do our key-management procedures need to cover to stop someone swapping in a fake cryptographic key?,111
How do we prove key substitution by unauthorized people is prevented?,111
"For requirement 3.7.7, what has to be written into the key-management policy?",111
What should the assessor look for in the documents and interviews for 3.7.7?,111
What is the objective of 3.7.7 in plain terms?,111
What has to be formally acknowledged by cryptographic key custodians under 3.7.8?,112
How does the assessor verify compliance with the key-custodian acknowledgment requirement?,112
Which requirement says key custodians must confirm they understand and accept their responsibilities?,112
What evidence is needed to show key custodians have acknowledged their role?,112
"For stored-account-data keys, what do the key-management policies need to cover about custodian acknowledgments?",112
What must a service provider do when it shares cryptographic keys with customers for account data transmission or storage?,113
"For requirement 3.7.9, what customer-facing key management guidance has to be documented and given out?",113
How is compliance with 3.7.9 checked during a service provider assessment?,113
"Does 3.7.9 apply to merchants, or only when the assessed entity is a service provider?",113
"When shared keys are provided, what needs to be included so the guidance matches requirements 3.7.1 through 3.7.8?",113
"What does 4.1 require for protecting cardholder data in transit over open, public networks?",115
"Under 4.1.1, what has to be true for the security policies and operating procedures tied to Requirement 4?",115
How do you test compliance with 4.1.1?,115
"Are policies and procedures in Requirement 4 supposed to be updated after changes, or only on a schedule?",115
Who needs to know the Requirement 4 policies and procedures for 4.1.1 to pass?,115
What does PCI DSS require for documenting and assigning roles in Requirement 4?,116
How do you test whether Requirement 4.1.2 is in place and understood by staff?,116
"For 4.1.2, what should an assessor look for in the written evidence?",116
"What method can be used to record who is responsible, accountable, consulted, and informed?",116
"Under Requirement 4, are personnel supposed to both have assigned duties and understand them?",116
"What has to be in place to protect PAN when it crosses an open, public network?",117
"Under requirement 4.2.1, what checks are needed for keys and certificates used in transit?",117
How do you verify that PAN is encrypted during transmission over public networks?,117
"What does the standard say about protocol versions, algorithms, and fallback to insecure options?",117
Are expired or revoked certificates allowed for safeguarding PAN in transit?,117
What has to be included in the inventory for keys and certificates used to protect PAN in transit?,120
How do you check that the trusted key and certificate inventory is being kept current?,120
What does requirement 4.2.1.1 say about tracking trusted keys and certificates?,120
What should the documented procedures define for maintaining the trusted key and certificate inventory?,120
"What details are recommended for certificates in the inventory, such as CA and expiration date?",120
What cryptography do wireless networks need to use for authentication and transmission when they carry PAN or connect to the CDE?,121
How do you check compliance for requirement 4.2.1.2 on wireless network encryption?,121
Which wireless networks are in scope for strong cryptography under 4.2.1.2?,121
What is the objective of 4.2.1.2 regarding PAN over wireless?,121
Can wireless systems fall back to a weaker protocol or encryption level under this requirement?,121
"What has to happen to PAN when it’s sent by email, chat, SMS, or similar tools?",122
Which requirement covers protecting card data sent through end-user messaging apps?,122
How do you check compliance with 4.2.2 for messaging channels?,122
What evidence should be reviewed to confirm PAN is encrypted in messaging systems?,122
Does 4.2.2 apply if a customer asks for PAN to be sent over an insecure message channel?,122
What does 5.1 require for protecting systems and networks from malware?,124
"Under 5.1.1, what has to be true of the security policies and procedures in Requirement 5?",124
How do you verify compliance with 5.1.1?,124
Should the policies and procedures in Requirement 5 be updated only on a fixed schedule?,124
"Which requirement says all Requirement 5 policies and procedures must be documented, current, in use, and known to affected staff?",124
What does 5.1.2 require for roles tied to Requirement 5 activities?,125
How do you test whether Requirement 5 responsibilities are properly assigned and understood?,125
What should be in the documentation for 5.1.2?,125
Who needs to be interviewed to confirm 5.1.2 is working as intended?,125
What is the objective of the customized approach for Requirement 5 responsibilities?,125
What does 5.2 require for malware protection overall?,126
"Where must an anti-malware solution be installed, and what exception is allowed?",126
How do you check whether a system component can be left without anti-malware under 5.2.1?,126
What does 5.2.1.a say to inspect to confirm anti-malware is deployed?,126
"For systems without anti-malware, what must the periodic evaluation show under 5.2.3?",126
What must the deployed anti-malware tools do with all known malware types under requirement 5.2.2?,127
How does an assessor verify compliance with 5.2.2 for anti-malware controls?,127
"Does 5.2.2 require anti-malware to both detect and remove, block, or contain malware?",127
What evidence should be reviewed to test requirement 5.2.2?,127
Which requirement number covers detection and containment of all known malware types?,127
What has to be included in periodic reviews for systems not considered at risk for malware under 5.2.3?,128
How do you prove the review process for 5.2.3 is defined and being followed?,128
What does 5.2.3.c require the assessor to compare the no-malware list against?,128
Which system components are in scope for 5.2.3?,128
Does 5.2.3 require tracking new malware threats and confirming the systems still do not need anti-malware protection?,128
How often must systems not considered at risk for malware be rechecked under Requirement 5.2.3.1?,129
What does the targeted risk analysis need to determine for Requirement 5.2.3.1?,129
How do you verify the periodic evaluation frequency for system components not at risk for malware?,129
What evidence and interviews are used to confirm Requirement 5.2.3.1 is being followed?,129
When does Requirement 5.2.3.1 stop being a best practice and become mandatory?,129
What has to keep the anti-malware tool current?,130
How do you verify the anti-malware solution is set to update itself automatically?,130
What evidence shows the malware definitions and software are up to date and deployed quickly?,130
"Under requirement 5.3.1, what condition must the anti-malware solution meet?",130
"When checking 5.3.1, what should be reviewed in the configuration and logs?",130
What does 5.3.2 require the anti-malware solution to do?,131
Can a system meet 5.3.2 with behavioral analysis instead of scheduled scans?,131
How do you verify 5.3.2 in configuration review?,131
What system components must be checked to confirm 5.3.2 is enabled?,131
What evidence is used to confirm 5.3.2 from an audit standpoint?,131
What sets the frequency for periodic malware scans under 5.3.2.1?,132
Which requirement must the targeted risk analysis follow for 5.3.2.1?,132
How do you verify that periodic malware scans are running at the right interval?,132
What evidence should be reviewed to confirm the malware scan frequency?,132
"Is 5.3.2.1 mandatory now, or still a best practice until 31 March 2025?",132
What has to happen when removable media is plugged in or mounted to satisfy 5.3.3?,133
"Does 5.3.3 require a scan on insert, or is continuous behavior monitoring acceptable for removable media?",133
How do you check that anti-malware is set up correctly for removable electronic media under 5.3.3?,133
What evidence should be reviewed to confirm 5.3.3 is active on systems with removable media attached?,133
"Is requirement 5.3.3 currently mandatory, or only a best practice until 31 March 2025?",133
What has to be enabled and kept for the anti-malware tool under 5.3.4?,134
How do you verify compliance with requirement 5.3.4 for anti-malware logging?,134
"For 5.3.4, how long do anti-malware logs need to be retained?",134
Which requirement says the anti-malware solution’s audit logs must be enabled and retained?,134
What is the objective for anti-malware action records under the customized approach?,134
"Under PCI DSS 5.3.5, who can let anti-malware be turned off or changed, and for how long?",135
What configuration setting should I check to confirm users can’t disable or alter anti-malware?,135
What evidence is required to show a request to disable anti-malware was properly approved?,135
Does 5.3.5 allow an admin to disable anti-malware on their own device without approval?,135
What does the testing procedure for 5.3.5.a require the assessor to examine?,135
What anti-phishing controls have to be in place for personnel with access to in-scope system components?,136
How is compliance with the phishing protection requirement verified during an assessment?,136
"What does PCI DSS say about DMARC, SPF, and DKIM for anti-phishing defenses?",136
Does meeting the phishing control requirement also satisfy the security awareness training requirement 12.6.3.1?,136
When does requirement 5.4.1 stop being a best practice and become mandatory?,136
What has to be true for the security policies and operational procedures in Requirement 6.1.1?,139
How do you prove Requirement 6.1.1 is being followed?,139
"What is the exact requirement number for keeping Requirement 6 policies and procedures documented, current, in use, and known?",139
What does Requirement 6 say about managing the policies and procedures tied to secure systems and software?,139
Which people need to know the security policies and operational procedures covered by Requirement 6?,139
What does 6.1.2 require for roles and responsibilities tied to Requirement 6 activities?,140
How do you verify 6.1.2 is in place during an assessment?,140
"Does 6.1.2 expect responsibilities to be documented and assigned, or just assigned verbally?",140
What should the assessor look for in the documentation for 6.1.2?,140
"Under Requirement 6, who needs to understand their assigned duties?",140
What has to be true for bespoke and custom software to count as securely developed under 6.2.1?,141
"Does 6.2.1 apply to third-party software, or only software the entity develops for its own use?",141
What evidence does the assessor review to test compliance with 6.2.1?,141
At what stages of the software lifecycle must security be considered for bespoke and custom software?,141
Which requirement says bespoke and custom software must be developed securely?,141
What training must developers on bespoke or custom software get every 12 months under 6.2.2?,142
Does 6.2.2 require secure design and secure coding to be covered in developer training?,142
"If security testing tools are used, what has to be included in the developer training?",142
How do you verify compliance with 6.2.2 in procedures and records?,142
Which software development staff are covered by 6.2.2?,142
What has to happen before bespoke or custom software goes live or is handed to customers under 6.2.3?,143
How does PCI DSS say a code review under 6.2.3 needs to be performed?,143
What are auditors supposed to inspect to confirm 6.2.3 is being followed?,143
"Does 6.2.3 apply to internal apps, public web apps, or both?",143
"What does 6.2.3 require code reviews to check for, and when must fixes be made?",143
What has to happen before bespoke or custom code can be released if a manual review is used?,144
Who is allowed to review the code under requirement 6.2.3.1?,144
"Does the review need management approval, and if so, when?",144
How do you verify compliance with 6.2.3.1 during an assessment?,144
"Can the person approving the review be the author or reviewer, or do they need to be separate?",144
What secure coding methods have to be in place for custom and bespoke software under 6.2.4?,145
Which kinds of attacks does Requirement 6.2.4 say developers need to address?,145
How do you verify that developers are actually using the required engineering techniques in 6.2.4?,145
"Does 6.2.4 cover SQL injection, XSS, CSRF, and access control attacks?",145
What high-risk vulnerabilities from the 6.3.1 process have to be considered in 6.2.4?,145
How do we classify and prioritize security vulnerabilities under requirement 6.3?,147
What sources have to be used to identify new vulnerabilities for 6.3.1?,147
What has to be included in the risk ranking for vulnerabilities in 6.3.1?,147
"Does 6.3.1 require coverage of bespoke, custom, and third-party software, and if so, which kinds?",147
How is compliance with 6.3.1 checked during the assessment?,147
What has to be kept in inventory under requirement 6.3.2?,151
How do you confirm the 6.3.2 inventory is being used to find and fix vulnerabilities?,151
What evidence is checked for 6.3.2.a?,151
What does 6.3.2.b compare the software records against?,151
"Is 6.3.2 mandatory yet, or still a best practice?",151
What is the deadline for applying patches for critical vulnerabilities under 6.3.3?,152
How should noncritical patches be scheduled in 6.3.3?,152
What do assessors review to confirm 6.3.3 is being followed?,152
What do they compare installed patches against when testing 6.3.3?,152
What does requirement 6.3.3 say about protecting system components from known vulnerabilities?,152
What has to be in place to protect public-facing web apps from attacks under 6.4.1?,154
"How often do public web apps need a vulnerability review, and when else should it happen?",154
"If we use a WAF or similar control, what conditions does it have to meet to satisfy 6.4.1?",154
What does 6.4.1 say about handling and fixing findings from an app security review?,154
How do assessors verify compliance with 6.4.1 when the control is a review process versus an automated solution?,154
"What automated protection has to be in place for public-facing web apps, and what must it do?",156
"For 6.4.2, what are the required checks for the solution’s placement, status, logging, and response to attacks?",156
What evidence does the assessor need to review to confirm 6.4.2 is met?,156
"Does the control need to block attacks, or is alerting enough if it’s immediately investigated?",156
When does Requirement 6.4.2 stop being a best practice and become mandatory?,156
What has to be in place for scripts running in the payment page browser session under requirement 6.4.3?,157
How do you verify 6.4.3 is being followed for payment page scripts?,157
What evidence does 6.4.3.a ask you to review during the assessment?,157
What do you need to show for the script inventory under 6.4.3?,157
How does 6.4.3.b say to confirm payment page scripts are controlled?,157
What has to be included in change control for production system components under 6.5.1?,159
How do you verify that recent system changes followed the approved change process for 6.5.1?,159
Does 6.5.1 require testing to show a change won’t weaken system security before it goes live?,159
"For bespoke or custom software updates, what extra check is required before production deployment?",159
What should the fallback procedure cover if a change fails or hurts security?,159
What has to be checked after a major change to a system or network under 6.5.2?,160
How do you verify compliance for 6.5.2 during an assessment?,160
Which requirement covers confirming PCI DSS controls are still in place after significant changes?,160
"When a change is completed, what documentation needs to be updated?",160
What should significant changes also feed into for the annual scope confirmation?,160
"What does requirement 6.5.3 say about separating pre-production from production, and what has to enforce it?",161
How do you verify that pre-production is kept apart from production under 6.5.3?,161
What evidence should be reviewed to confirm the pre-production and production environments are separated by access controls?,161
"In 6.5.3, what should network diagrams and security control configs show about environment separation?",161
What access control settings need to be in place to satisfy 6.5.3?,161
What has to be separated between production and pre-production environments under 6.5.4?,162
What is the control trying to prevent by splitting roles and functions across those environments?,162
How do you verify compliance with requirement 6.5.4?,162
"If a team is short on staff, can one person do multiple roles for 6.5.4, and what extra controls are needed?",162
"What must be true before changes get deployed, according to 6.5.4?",162
What’s the rule on using live PANs in pre-production systems under 6.5.5?,163
"When are live PANs allowed in pre-production, if ever?",163
How do we prove we’re not using live PANs in pre-production environments?,163
What should the assessor look at for 6.5.5 to confirm compliance?,163
